DealerID,InventoryID
639161,375089
494698,371565
575336,863305
537816,481591
456823,562159
658230,667067
89330,776829
201592,309282
197129,744805
784585,858823
25970,246218
381305,872427
213727,209611
913123,856986
83325,336845
772056,369608
228075,671440
357339,308531
768274,327140
640885,894344
453316,198894
189624,973087
970305,501033
883293,476269
399830,842120
54974,332374
785059,830710
536654,383625
291573,376067
299105,222979
385378,882709
122619,458878
22983,823937
491413,300435
779615,937048
160722,897077
883954,857078
273544,574849
260992,938416
714610,935493
526137,289928
823944,562510
823800,738605
60601,166479
129509,441739
559329,851376
732205,212918
88413,194842
327065,646515
519998,333684
319962,264182
438265,100672
171987,231525
348446,159599
827787,252306
389084,786888
298770,984584
579051,354570
685715,589329
279320,315758
92982,909020
390887,859612
223889,196734
566070,821101
593147,941321
16874,803825
265092,359502
689882,970833
96615,719097
581160,457259
885097,649552
486929,157541
416446,396200
396716,454132
763971,960261
11535,758791
517361,504864
470931,149474
569753,851177
601088,586414
389234,229813
690371,152042
776466,377210
877752,745906
519488,581546
85582,122018
462835,454995
911737,185749
551323,731337
337073,727961
314671,929695
219315,814313
728861,594304
856270,185323
812450,813739
544513,161619
453904,650996
145931,356673
532571,418901
600867,201255
479999,596319
501600,157309
423010,226049
477117,111781
513832,539773
780936,327722
310354,796325
431962,549426
741210,616231
327414,950765
679095,730595
151837,384675
739492,750192
730835,772248
616113,232807
240097,709451
485016,525316
539485,694530
120356,626504
855776,614252
50256,662770
75809,109509
226617,993550
865898,433363
233686,504471
247102,494550
225408,138793
527544,921065
125380,571293
150639,487729
231976,329166
717510,530893
813984,799758
558692,203198
447009,994533
322166,242888
444252,854740
332618,165346
343847,998166
143846,827381
178114,365359
503188,914025
864258,927763
944082,834974
430805,337742
256590,394630
295863,403920
592333,913212
670347,832637
612909,537230
703809,604631
666628,669097
766408,853709
276558,820840
183623,829775
624653,862932
239573,740257
835714,337515
109034,104985
686372,714976
279939,481492
256993,230336
164409,477854
381018,581865
977114,816079
949462,311199
432438,281805
57604,257087
467221,884049
14408,796776
277117,202619
864211,849785
497542,578314
417271,300350
148656,719002
141284,806939
576175,733137
207010,548133
923069,829415
137156,149984
483944,349916
103870,535419
57310,786130
267737,984602
761954,604864
242391,100836
246401,656213
835588,684923
503245,969159
127172,533666
278257,246947
787467,320903
85394,305392
261563,591753
930306,227841
754927,327068
518494,287546
828704,845996
537783,520716
675207,384567
210298,371878
381240,453896
690818,420814
816458,330741
293859,913306
411871,455289
219902,886468
358675,342404
537681,921587
773756,694227
855867,750861
289703,678929
846337,511031
814585,894629
352388,106250
535348,147519
794223,775995
698432,335359
132323,852574
801979,228236
990009,655802
448025,190997
612390,443555
743733,611615
343438,678688
621278,117944
433444,186095
867363,478922
693708,901321
497784,798853
342133,665329
278586,115925
791548,303433
389103,351760
846923,375440
105389,743889
310863,281889
612178,840431
592076,360246
146973,860996
464128,550499
319111,720438
140130,697055
147988,165931
790645,283356
603079,732930
523921,850252
327136,287502
755054,247786
946941,286666
471680,622954
703851,175456
457263,776258
102957,317132
237485,513190
67186,132381
596851,875503
980026,564288
