ManufacturerID,ManufacturerName,ManufacturerStreet,ManufacturerCounty,ManufacturerState,ManufacturerZip
397764,Agway Inc.,181 DARTMOUTH ST,Savannah,North Carolina,84199
613416,Exide Technologies,83 HASTINGS TER,West Covina,Georgia,14081
982845,R.J. Reynolds Tobacco Company,97 ERVINE ST,Jefferson,South Carolina,57625
205460,Computer Associates International Inc.,54 TRUETT ST,Chula Vista,Vermont,22416
822293,Torchmark Corporation,38 EL DORADO ST SOUTHSOUTH,Toledo,North Carolina,91296
799850,The Alpine Group,114 FORT MASON 9,Minneapolis,West Virginia,79596
34036,Limited Inc.,120 PAULDING ST,Nashua,Minnesota,58459
478126,Administaff,121 NAPLES ST,Nashua,Georgia,56095
407314,Marathon Oil Corporation,50 27TH ST,Danbury,Indiana,75564
497655,The LTV Corporation,117 04TH AVE,Stockton,Montana,24138
594295,American Electric Power Company,123 ADAIR ST,Des Moines,Maryland,56471
588724,DQE Inc.,92 WALDO ALY,Racine,Nebraska,17542
981538,Praxair Inc,98 J ST,Alexandria,Tennessee,44312
540748,Great Plains Energy Inc.,70 SHORT ST,Victorville,Wisconsin,86877
584021,AK Steel Holding Corporation,172 AVENUE F,Lancaster,Delaware,2009
850267,Yellow Corporation,58 ALERT ALY,Chula Vista,Virginia,54662
92726,Sierra Health Services Inc,56 HOPKINS AVE,St. Paul,Mississippi,93029
685855,Owens & Minor Inc.,77 ASPEN CT,New Bedford,Texas,78350
644597,Waste Management Inc,48 KOBBE AVE,Orlando,Alaska,77808
357414,Occidental Petroleum Corp,94 EXCELSIOR AVE,Bakersfield,Oklahoma,67617
380189,PNM Resources Inc,90 VALLETTA CT,Abilene,Arizona,97423
954472,Stryker Corp,162 ROSS ALY,Birmingham,South Carolina,62718
383918,MGIC Investment Corporation,190 EXETER ST,Tuscaloosa,Kentucky,72106
876290,Charter One Financial Inc.,167 05TH TI ST,Victorville,Maryland,1826
333872,Burlington Industries,77 MACALLA CT,Pensacola,Idaho,53038
23027,Ingles Market Inc,78 SERRANO DR,Riverside,West Virginia,55000
31730,Beckman Coulter,90 AVILA ST,Cedar Rapids,Pennsylvania,24547
485531,Steelcase Inc,38 SANSOME ST,Howell,Wisconsin,78139
762130,Budget Group,181 WESTERN SHORE LN,Duluth,Georgia,11771
666795,Omnicom Group,65 COVENTRY LN,Bridgeport,Alaska,61815
319555,Old Republic International Corp.,161 CUSHMAN ST,Las Cruces,New York,17284
754249,Park Place Entertainment Corp,168 DOCK ST,Jackson,Virginia,41428
419198,ALLETE,110 NIAGARA AVE,Elkhart,West Virginia,41181
711996,Viad Corp,72 GILROY ST,Lincoln,Mississippi,66586
356793,Olin Corp.,191 RIO CT,Hampton,Rhode Island,17898
742349,Hollywood Entertainment Corp.,146 FALMOUTH ST,Davidson County,Connecticut,74988
850742,Spartan Stores Inc,86 CRESCENT AVE,Indianapolis,Michigan,74078
374295,Protective Life Corp,37 CLAREMONT BLVD,Santa Barbara,Tennessee,23612
999794,Scientific-Atlanta Inc,191 AVILA ST,Des Moines,Colorado,27199
429455,ALLETE,95 D ST,Flint,South Dakota,40894
835818,Consolidated Edison Inc.,80 REED ST,Tacoma,Alabama,51188
707253,Amerada Hess Corporation,20 12TH ST,Overland Park,Mississippi,55221
104456,Ball Corporation,182 SFGH ACCESS,Saint Petersburg,Nevada,15615
842180,Sempra Energy,56 BLANCHE ST,Fremont,Maryland,92303
884117,Merck & Co.,187 UPTON ST,Mission Viejo,Alabama,47453
288532,Owens & Minor Inc.,122 DE SOTO ST,Warren,Wyoming,3234
192093,Park Place Entertainment Corp,153 CARRIE ST,Daly City,Pennsylvania,57840
996783,Georgia Gulf Corporation,86 DAVENPORT LN,Oakland,Wisconsin,61512
400709,Wisconsin Energy Corporation,74 GILROY ST,Fort Walton Beach,Washington,60805
860890,J.P. Morgan Chase & Co.,123 BELDEN ST,New York City,Massachusetts,52608
753992,Hormel Foods Corp.,91 ZOE ST,Lake Charles,Wisconsin,91712
69914,JDS Uniphase Corp.,101 HEMLOCK ST,Salt Lake City,Arizona,34829
162868,Deere & Company,118 WRIGHT CT,Naperville,Oklahoma,89082
855157,Arkansas Best Corporation,94 RACINE LN,Raleigh,Iowa,8547
14173,Baxter International Inc.,39 DESMOND ST,Melbourne,Maine,68364
846248,Outback Steakhouse Inc.,51 SAN BRUNO AV OFF RAMP,Pasadena,Iowa,29369
258108,Brightpoint,29 JACK MICHELINE ALY,Oakland,Washington,40133
55838,Vishay Intertechnology Inc,169 18TH ST,Youngstown,Kentucky,76258
530343,Pride International Inc,71 HERON ST,Toledo,Oregon,4853
407929,Cooper Cameron Corp.,152 RESTANI WAY,Kaneohe,Pennsylvania,94931
351569,Supervalu Inc,36 RUSS ST,Norwalk,Maine,51193
685056,Shaw Group Inc,180 GUERRERO ST,New Haven,Iowa,74053
657897,Unisys Corporation,52 DRAKE ST,Gulfport-Biloxi,Indiana,72756
45419,Coca-Cola Enterprises Inc.,61 SFGH ACCESS,Winston,Alabama,10096
500586,On Semiconductor Corp,62 JUNIPER ST,Santa Rosa,New Jersey,77074
