ManufacturerID,SupplierID
397764,400878
613416,614589
982845,474142
205460,495513
822293,137526
799850,917740
34036,300304
478126,712010
407314,380774
497655,323245
594295,975342
588724,293299
981538,447773
540748,772519
584021,37178
850267,92275
92726,324486
685855,918990
644597,779826
357414,309221
380189,325303
954472,929447
383918,958705
876290,333906
333872,904390
23027,48330
31730,630628
485531,928987
762130,647126
666795,81447
319555,2829
754249,191938
419198,491593
711996,184335
356793,842698
742349,434772
850742,948273
374295,797809
999794,824377
429455,400119
835818,750253
707253,913258
104456,720501
842180,466417
884117,69943
288532,666446
192093,495451
996783,183090
400709,597387
860890,99759
753992,112141
69914,211855
162868,896703
855157,125836
14173,908550
846248,357868
258108,494227
55838,333180
530343,819419
407929,210329
351569,92506
685056,494571
657897,452507
45419,63
500586,76264
373348,822488
658143,898252
461081,60637
571353,147590
719824,139701
336708,971961
866730,981343
556223,283870
977447,993763
221282,386741
28873,796178
454386,289837
987032,88509
589755,78
907482,243542
212249,80
42383,283411
889247,568986
437906,507172
706513,738878
744069,320951
76451,343187
795718,667511
158777,749136
828337,161529
27587,90
507768,339966
139152,142507
555031,880648
708121,663105
767718,121421
137123,780816
789708,11108
782348,98
749248,655054
647462,446206
22286,312043
323564,102
647457,957848
586565,732448
737411,692938
265139,998729
630960,159427
819499,1225
546970,718120
529940,322902
911827,582048
67014,112
364754,193905
797041,579870
772895,977016
907405,464140
887640,26103
481481,500131
879428,432583
919400,845366
426977,249418
966027,122
49508,784875
683744,774059
486787,261630
800573,887419
445507,471665
811012,748142
130493,886576
590858,141478
343574,737595
36464,422377
882711,315712
649022,981626
348058,111559
735900,538650
613615,291649
546399,84890
454772,744044
250307,156878
764299,305104
23249,689008
230469,143
280626,605677
290696,872083
313315,396724
257822,346213
420614,538641
855094,91454
583649,1871
600616,151
270071,655224
386653,949748
952306,490839
876883,995280
621323,200559
334665,183867
460570,673917
205301,970551
906443,610668
945261,309382
532307,545742
203572,163
781037,164
748086,165
986682,477047
942603,847891
709217,168
424225,683031
820200,259683
17629,394571
851741,711335
308619,926404
19840,278701
520660,64652
662908,176
933763,893434
259682,178
438148,939515
94160,115973
160248,768730
852743,573232
378068,183
125317,174725
299162,687781
451868,998503
219981,524921
983239,145611
456323,189
682352,353007
507838,497957
636092,205856
771511,367638
363476,411737
511710,550674
243277,709450
875050,150682
458098,158850
291759,784556
301710,149120
330748,340532
634232,280627
478037,192551
772831,698156
856188,430714
275432,526687
539070,843452
629113,652790
114514,273818
607200,731208
650520,112601
899931,619830
466671,121011
260883,214
148206,885638
607471,304830
88152,949357
551044,133771
483277,605914
66129,40387
871676,794692
397814,464460
193850,735836
182103,358137
603075,171691
160597,784213
145276,66076
30327,228
732285,914083
493569,663141
634374,198572
683249,915216
132342,559596
879670,145664
558432,386465
804776,236
101307,237
273973,234576
385339,117018
974511,240
514672,882904
17495,82637
245328,43981
324777,65418
11547,744058
500196,293069
706779,322686
434186,437589
121236,391013
400937,999405
510225,390098
912825,705804
455869,615107
166624,367724
521222,660737
374999,256
194942,263153
926076,258
214785,822837
989826,977992
410017,14848
82745,536072
886927,485773
436012,64691
892616,780141
625881,499865
301634,199188
536430,387648
847588,430959
115383,602624
18335,545736
427720,272
564847,23336
666099,223619
771180,209356
473102,461443
312556,929182
816075,882701
251961,413188
403871,865239
788937,281
882054,482459
941337,634725
682356,393441
222131,342064
338088,773111
