Model,Series,ModelYear,DriveTrain,Transmission,BaseCost,Brand,EngineID
M4 Convertible,M4,2019,RWD,Manual,77650,WMBm,67574
M760i xDrive Sedan,7,2019,AWD,Automatic,156700,WMB,152619
M4 Coupe,M4,2019,RWD,Automatic,69150,WMBm,67574
xDrive28i,X2,2019,AWD,Automatic,38400,WMBx,519009
530i xDrive Sedan,5,2019,AWD,Automatic,55700,WMB,519009
xDrive50i,X5,2019,AWD,Manual,75750,WMBx,674079
xDrive40i,X5,2019,AWD,Automatic,60700,WMBx,602503
sDrive28i,X1,2019,FWD,Automatic,34950,WMBx,519009
xDrive40i,X7,2019,AWD,Automatic,73900,WMBx,916404
ALPINA B6 xDrive Gran Coupe,Alpina,2019,AWD,Automatic,124400,WMB,314344
M4 Convertible,M4,2019,RWD,Automatic,77650,WMBm,67574
M550i xDrive Sedan,5,2019,AWD,Automatic,74450,WMB,452252
M5 Competition,M5,2019,AWD,Automatic,110000,WMBm,452252
xDrive30i,X3,2019,AWD,Manual,43000,WMBx,519009
740i xDrive Sedan,7,2019,AWD,Automatic,86650,WMB,602503
540i Sedan,5,2019,RWD,Automatic,58950,WMB,602503
xDrive30i,X3,2019,AWD,Automatic,43000,WMBx,519009
540i xDrive Sedan,5,2019,AWD,Manual,61250,WMB,602503
330i Sedan,3,2019,RWD,Automatic,40250,WMB,519009
M35i,X2,2019,AWD,Manual,46450,WMBx,519009
M4 Coupe,M4,2019,RWD,Manual,69150,WMBm,67574
xDrive28i,X1,2019,AWD,Automatic,36950,WMBx,519009
530e iPerformance,5,2019,RWD,Manual,53400,WMB,955048
M550i xDrive Sedan,5,2019,AWD,Manual,74450,WMB,452252
330i xDrive Sports Wagon,3,2019,AWD,Manual,45000,WMB,519009
sDrive30i,X3,2019,RWD,Manual,41000,WMBx,519009
330i xDrive Sedan,3,2019,AWD,Manual,42250,WMB,519009
xDrive50i,X7,2019,AWD,Manual,92600,WMBx,812912
ALPINA B6 xDrive Gran Coupe,Alpina,2019,AWD,Manual,124400,WMB,314344
sDrive28i,X2,2019,FWD,Manual,36400,WMBx,519009
BMW i3,i3,2019,RWD,Manual,44450,WMBi,795859
sDrive30i,X3,2019,RWD,Automatic,41000,WMBx,519009
530i Sedan,5,2019,RWD,Manual,53400,WMB,519009
ALPINA B7 xDrive,Alpina,2019,AWD,Manual,139350,WMB,493483
M850i xDrive Coupe,8,2019,AWD,Manual,111900,WMB,674079
M5 Competition,M5,2019,AWD,Manual,110000,WMBm,452252
xDrive50i,X6,2019,AWD,Manual,78300,WMBx,674079
M40i,X4,2019,AWD,Automatic,60450,WMBx,339683
M40i,X4,2019,AWD,Manual,60450,WMBx,339683
740i Sedan,7,2019,RWD,Automatic,83650,WMB,602503
740e xDrive iPerformance,7,2019,AWD,Automatic,91250,WMB,955048
M5 Sedan,M5,2019,AWD,Manual,102700,WMBm,452252
M40i,X3,2019,AWD,Manual,54650,WMBx,339683
xDrive35i,X6,2019,AWD,Manual,65850,WMBx,602503
740i Sedan,7,2019,RWD,Manual,83650,WMB,602503
540i Sedan,5,2019,RWD,Manual,58950,WMB,602503
M6 Gran Coupe,M6,2019,RWD,Automatic,119900,WMBm,710799
330i xDrive Sedan,3,2019,AWD,Automatic,42250,WMB,519009
