Model,WheelID
M4 Convertible,307696
M760i xDrive Sedan,987509
M4 Coupe,366860
xDrive28i,413265
530i xDrive Sedan,435917
xDrive50i,129420
xDrive40i,721064
sDrive28i,57477
xDrive40i,571640
ALPINA B6 xDrive Gran Coupe,238216
M4 Convertible,284545
M550i xDrive Sedan,997725
M5 Competition,754644
xDrive30i,435917
740i xDrive Sedan,513328
540i Sedan,435917
xDrive30i,977980
540i xDrive Sedan,435917
330i Sedan,957703
M550i xDrive Sedan,380455
M35i,399111
M4 Coupe,307696
xDrive28i,53943
530e iPerformance,101995
M550i xDrive Sedan,842163
330i xDrive Sports Wagon,537507
sDrive28i,53943
sDrive30i,433733
M35i,842163
ALPINA B6 xDrive Gran Coupe,669605
xDrive30i,165291
330i xDrive Sedan,734555
xDrive50i,991832
ALPINA B6 xDrive Gran Coupe,4286
sDrive28i,165291
BMW i3,722168
sDrive30i,415538
530e iPerformance,435917
530i Sedan,338567
ALPINA B7 xDrive,597868
M850i xDrive Coupe,271809
M5 Competition,965685
xDrive50i,335894
M40i,57477
xDrive50i,353517
BMW i3,593340
740i Sedan,987509
sDrive28i,613849
740e xDrive iPerformance,58246
M5 Sedan,504479
M550i xDrive Sedan,275527
M40i,33228
xDrive35i,405027
xDrive50i,171700
740i Sedan,548055
M760i xDrive Sedan,564229
M6 Gran Coupe,187575
330i xDrive Sedan,814361
640i xDrive Gran Turismo,686422
330i xDrive Sports Wagon,379067
540i xDrive Sedan,101995
M760i xDrive Sedan,58246
xDrive50i,721064
xDrive35i,501231
xDrive30i,433095
M2 Competition,419964
xDrive28i,165291
330i Sedan,331477
330i xDrive Sports Wagon,230567
330i xDrive Gran Turismo,379067
BMW i8 Roadster,819686
540i Sedan,338567
530e xDrive iPerformance,607080
740e xDrive iPerformance,987509
ALPINA B7 xDrive,669605
xDrive50i,4567
740i xDrive Sedan,548055
M760i xDrive Sedan,513328
xDrive40i,735251
Z4 sDrive30i,850214
sDrive28i,605412
330i xDrive Gran Turismo,340210
740i Sedan,513328
BMW i8 Roadster,379133
540i Sedan,698431
BMW i8 Coupe,379133
xDrive40i,975758
640i xDrive Gran Turismo,997725
750i Sedan,513328
740e xDrive iPerformance,548055
340i xDrive Gran Turismo,344065
530i Sedan,101995
ALPINA B6 xDrive Gran Coupe,597868
330i xDrive Sports Wagon,344065
330i xDrive Sedan,230567
sDrive30i,165291
540i Sedan,101995
750i xDrive Sedan,564229
M3 Sedan,284545
740i xDrive Sedan,564229
M850i xDrive Coupe,987509
M4 Coupe,284545
sDrive28i,533893
M40i,938158
M3 Sedan,366860
Z4 sDrive30i,22897
M5 Sedan,754644
xDrive40i,977898
BMW i3,96013
M4 Convertible,366860
540i xDrive Sedan,338567
Z4 sDrive30i,940864
640i xDrive Gran Turismo,884990
sDrive35i,4567
xDrive50i,435917
M5 Sedan,965685
M760i xDrive Sedan,548055
M4 Convertible,360094
sDrive28i,785886
740e xDrive iPerformance,513328
740i xDrive Sedan,58246
xDrive40i,129420
330i Sedan,344065
sDrive28i,129644
M35i,497320
M6 Gran Coupe,650494
M3 Sedan,307696
xDrive30i,415538
530e iPerformance,607080
530e xDrive iPerformance,435917
sDrive35i,501231
M35i,997725
Z4 sDrive30i,960488
540i xDrive Sedan,94252
xDrive28i,672695
530i Sedan,698431
750i Sedan,58246
640i xDrive Gran Turismo,842163
Z4 sDrive30i,7882
M850i xDrive Coupe,58246
330i Sedan,379067
M5 Sedan,963731
M4 Coupe,360094
ALPINA B7 xDrive,238216
xDrive28i,57477
330i xDrive Sports Wagon,331477
530i xDrive Sedan,607080
xDrive40i,989188
530i xDrive Sedan,101995
740i Sedan,564229
xDrive30i,433733
xDrive50i,830471
530i Sedan,435917
530e xDrive iPerformance,338567
750i Sedan,548055
M40i,990982
M6 Gran Coupe,537379
M5 Sedan,57477
340i xDrive Gran Turismo,230567
330i xDrive Sedan,998702
740i xDrive Sedan,987509
330i Sedan,814361
sDrive28i,60866
330i xDrive Gran Turismo,344065
xDrive40i,939985
330i xDrive Sports Wagon,575807
530e iPerformance,94252
xDrive35i,4567
340i xDrive Gran Turismo,379067
540i Sedan,607080
BMW i8 Roadster,447041
xDrive40i,435917
Z4 sDrive30i,668003
BMW i8 Coupe,819686
sDrive28i,754644
330i xDrive Gran Turismo,537507
sDrive30i,435917
xDrive50i,735251
330i Sedan,340210
330i xDrive Gran Turismo,957703
M40i,932006
750i xDrive Sedan,987509
530i xDrive Sedan,338567
M6 Gran Coupe,587159
330i Sedan,537507
xDrive28i,129644
330i Sedan,734555
530i xDrive Sedan,698431
M760i xDrive Sedan,271809
330i xDrive Sedan,331477
sDrive35i,129420
M5 Competition,57477
740e xDrive iPerformance,271809
640i xDrive Gran Turismo,339185
330i xDrive Sports Wagon,957703
xDrive40i,353517
740i Sedan,58246
sDrive35i,405027
M5 Competition,504479
M850i xDrive Coupe,548055
xDrive28i,60866
M40i,661576
M40i,754644
xDrive50i,454657
M850i xDrive Coupe,564229
540i xDrive Sedan,607080
xDrive50i,405027
M6 Gran Coupe,30081
xDrive28i,605412
xDrive50i,358278
sDrive35i,454657
xDrive28i,533893
M4 Convertible,603646
M3 Sedan,603646
M4 Coupe,603646
xDrive40i,694136
340i xDrive Gran Turismo,814361
330i xDrive Sedan,575807
750i Sedan,271809
530e xDrive iPerformance,101995
xDrive40i,358278
ALPINA B7 xDrive,502591
340i xDrive Gran Turismo,340210
xDrive50i,501231
sDrive30i,977980
xDrive50i,241695
BMW i3,6790
xDrive30i,199210
sDrive35i,335894
