SupplierID,SupplierName,SupplierStreet,SupplierCounty,SupplierState,SupplierZip
400878,Mariner Health Care Inc.,131 WATER ST,Myrtle Beach,Illinois,26339
614589,BMC Software,68 SHARON ST,Clearwater,Indiana,25666
474142,Halliburton Co.,94 SHIP ST,McAllen,Oklahoma,50824
495513,SPX Corp,172 GLORIA CT,Tuscaloosa,Illinois,87533
137526,TransMontaigne Inc,155 MONTECITO AVE,Orange,Massachusetts,59843
917740,PepsiCo Inc.,123 SHAFTER AVE,Barnstable,Minnesota,15817
300304,Walt Disney Co,157 ANZAVISTA AVE,Boise City,Minnesota,18329
712010,E.W. Scripps Company,115 ERIE ST,Vero Beach,Michigan,24634
380774,Stewart Information Services Corp,30 RIPLEY ST,Bradenton,Alabama,24294
323245,Jones Apparel Group Inc.,161 SPOFFORD ST,Fort Collins,Georgia,17330
975342,Kemet Corp.,173 CRANE ST,Peoria,West Virginia,33500
293299,Plains All American Pipeline LP,157 NEWCOMB AVE,Sioux Falls,Mississippi,30005
447773,Harley-Davidson Inc.,112 VAN BUREN ST,Monterey,Delaware,71631
772519,Northrop Grumman Corporation,88 SWEENY ST,Davenport,Texas,83831
37178,The May Department Stores Company,174 DELGADO PL,Glendale,Virginia,21093
92275,Volt Information Sciences Inc,32 ALLSTON WAY,Bremerton,Tennessee,2758
324486,Parker Hannifin Corp.,63 FARVIEW CT,Monroe,Georgia,54731
918990,Scana Corp.,59 MASSASOIT ST,Brownsville,New Jersey,88727
779826,ALLTEL Corporation,130 WHITECLIFF WAY,Vallejo,Georgia,52901
309221,Noble Energy Inc,63 02ND ST,Moreno Valley,Connecticut,21181
325303,Magellan Health Services Inc.,186 BROOKDALE AVE,High Point,Indiana,18703
929447,D&K Healthcare Resources,35 SCHOOL ALY,Lorain,Pennsylvania,17024
958705,First American Financial Corp.,131 VIRGIL ST,Round Lake Beach,New Mexico,50244
333906,EGL Inc.,186 CLEARFIELD DR,Athens,Kentucky,98064
904390,Rent A Center Inc,11 HEYMAN AVE,Newark,Maryland,55970
48330,Zale Corporation,184 PIXLEY ST,West Covina,Connecticut,98709
630628,Applera Corporation,5 ELMWOOD WAY,Barnstable,New Jersey,43599
928987,Federated Department Stores Inc.,25 ORANGE ALY,Vero Beach,Florida,28091
647126,Wyndham International Inc,82 MINNESOTA ST,Waco,Idaho,41517
81447,Earthlink,140 VALPARAISO ST,Evansville,Iowa,1180
2829,Marshall & Ilsley Corporation,50 LOMITA AVE,Orem,Washington,14508
191938,OGE Energy Corp,154 DE WOLF ST,Fort Walton Beach,Georgia,28077
491593,Hewlett-Packard Company,120 OCTAVIA ST,Seattle,Vermont,41078
184335,Harris Corp.,130 FELIX AVE,Arvada,Louisiana,9142
842698,Compass Bancshares Inc,41 ARELLANO AVE,Victorville,Texas,97596
434772,Hubbell Inc.,158 DAVIDSON AVE,Danbury,Virginia,42716
948273,Medtronic Inc.,32 LANSING ST,Laredo,Maryland,95214
797809,Sun Healthcare Group Inc.,122 ELMWOOD WAY,Killeen,Montana,26473
824377,Jack In The Box Inc.,1 ACEVEDO AVE,Mission Viejo,Louisiana,94322
400119,Sunoco Inc.,85 WALLACE AVE,Bethlehem,South Dakota,89116
750253,Winn Dixie Stores Inc,134 NOE ST,Montgomery,Vermont,65124
913258,K-Mart Corp.,134 EUREKA ST,Shreveport,Arkansas,55783
720501,K-Mart Corp.,47 LINCOLN WAY,Yakima,Illinois,63364
466417,Varco International Inc,148 JADE PL,Gastonia,North Carolina,95095
69943,Fleming Companies Inc.,51 BELCHER ST,Appleton,Maine,16112
666446,Outback Steakhouse Inc.,51 FAXON AVE,GreenBay,Washington,36150
495451,Scotts Company,78 BAYSIDE VILLAGE PL,Olathe,Alaska,81337
183090,Advance Auto Parts,4 ROSELYN TER,Milwaukee,Wisconsin,63948
597387,Tower Automotive Inc.,99 MIRANDO WAY,Tuscaloosa,Iowa,16081
