Model,Design
BMW i3,Giga World
750i xDrive Sedan,Standard
540i xDrive Sedan,M Sport
ALPINA B6 xDrive Gran Coupe,Standard
BMW i8 Roadster,Tera World Copper
M5 Competition,Standard
M40i,Standard
M6 Gran Coupe,Standard
640i xDrive Gran Turismo,Sport Line
640i xDrive Gran Turismo,M Sport
M4 Coupe,Standard
M3 Sedan,Standard
540i xDrive Sedan,Sport Line
sDrive28i,M Sport X
M2 Competition,Standard
xDrive28i,Standard
xDrive30i,xLine
sDrive35i,xLine
ALPINA B7 xDrive,Standard
xDrive28i,M Sport
740e xDrive iPerformance,Standard
xDrive40i,Luxury
530i xDrive Sedan,Sport Line
sDrive28i,Standard
340i xDrive Gran Turismo,Luxury
M550i xDrive Sedan,Standard
M760i xDrive Sedan,Standard
BMW i3,Deka World
740i xDrive Sedan,Standard
M4 Convertible,Standard
xDrive50i,M Sport
530i xDrive Sedan,M Sport
M5 Sedan,Standard
340i xDrive Gran Turismo,M Sport
530e xDrive iPerformance,Sport Line
330i xDrive Sports Wagon,Sport Line
530i Sedan,Luxury
sDrive30i,Luxury
M850i xDrive Coupe,Standard
xDrive40i,M Sport
530i Sedan,M Sport
M35i,Standard
xDrive28i,M Sport X
xDrive35i,xLine
740i Sedan,Standard
xDrive50i,xLine
Z4 sDrive30i,Sport line
BMW i8 Coupe,Tera World Copper
xDrive30i,M Sport
sDrive30i,xLine
sDrive28i,xLine
340i xDrive Gran Turismo,Sport Line
