Model,WheelID
BMW i3,359742
750i xDrive Sedan,329306
540i xDrive Sedan,710724
ALPINA B6 xDrive Gran Coupe,507716
BMW i8 Roadster,620777
BMW i8 Roadster,164921
M5 Competition,92281
M40i,895515
M6 Gran Coupe,882913
640i xDrive Gran Turismo,572174
640i xDrive Gran Turismo,470686
M4 Coupe,133259
M3 Sedan,15346
sDrive28i,307910
M2 Competition,870264
xDrive28i,846618
xDrive30i,710724
sDrive35i,177639
ALPINA B7 xDrive,535473
xDrive28i,964606
740e xDrive iPerformance,536356
xDrive40i,328216
M5 Competition,814075
530i xDrive Sedan,717237
M40i,901492
sDrive28i,846618
340i xDrive Gran Turismo,640557
750i xDrive Sedan,949562
M550i xDrive Sedan,251351
M3 Sedan,133259
M760i xDrive Sedan,231782
sDrive28i,501270
BMW i3,393021
740i xDrive Sedan,949562
740i xDrive Sedan,329306
M3 Sedan,975012
M4 Convertible,304598
xDrive50i,474220
530i xDrive Sedan,651095
M4 Coupe,584469
M3 Sedan,584469
M5 Sedan,92281
M4 Convertible,975012
340i xDrive Gran Turismo,332582
M6 Gran Coupe,149049
xDrive50i,620001
xDrive50i,180642
540i xDrive Sedan,92526
M40i,619674
530e xDrive iPerformance,710724
330i xDrive Sports Wagon,426663
530i Sedan,825480
sDrive30i,808608
740i xDrive Sedan,231782
M850i xDrive Coupe,949562
xDrive40i,921270
530i Sedan,710724
M550i xDrive Sedan,34893
M35i,34893
xDrive50i,63978
xDrive28i,873852
xDrive35i,408534
740i Sedan,329306
xDrive50i,355167
Z4 sDrive30i,618378
ALPINA B6 xDrive Gran Coupe,535473
xDrive50i,595962
BMW i8 Coupe,164921
740i Sedan,951204
750i xDrive Sedan,231782
530i Sedan,717237
xDrive40i,595962
740e xDrive iPerformance,231782
sDrive30i,710724
740e xDrive iPerformance,329306
sDrive28i,808608
xDrive50i,710724
M40i,645885
340i xDrive Gran Turismo,99352
