SaleID,TotalCost,SaleDay,SaleMonth,SaleYear,DealerID,CustomerID
50690,117150,13,5,2019,786059,730031
844191,171300,19,10,2019,133630,539634
469269,171300,17,9,2019,482839,280918
712595,114000,5,10,2019,756655,632932
357019,63450,20,8,2019,263515,698745
181790,127900,21,4,2019,904883,320299
921859,86000,9,11,2019,228303,840875
250899,65250,15,3,2019,463126,356978
819254,60900,7,5,2019,939497,676326
81908,52450,19,4,2019,842259,849291
678222,67550,28,0,2019,850800,714681
735792,49600,8,2,2019,915714,683884
635451,95250,26,9,2019,528799,535713
583488,81900,13,8,2019,987224,415345
420895,38400,14,8,2019,573514,346043
437712,78450,19,5,2019,451731,117271
528897,71300,14,1,2019,736528,631783
797398,69500,4,11,2019,377729,944693
990846,72000,7,4,2019,797177,290519
10392,38400,28,12,2019,30052,414255
121280,84650,14,5,2019,989193,700255
832685,69500,20,0,2019,138883,741045
182080,44175,1,0,2019,939755,208166
434149,117350,16,6,2019,221735,555724
494727,66950,11,5,2019,759828,219630
216456,98600,5,3,2019,633660,3465
799557,98600,12,4,2019,94173,774361
322355,76950,17,7,2019,526676,808052
81374,57700,1,9,2019,615721,129269
176099,59700,4,4,2019,950830,663830
508246,57650,19,1,2019,73830,540490
87253,60900,0,1,2019,669270,807686
418407,64700,10,11,2019,866422,18019
270119,76150,4,1,2019,570684,397006
705701,48450,14,4,2019,51218,933693
869442,40400,20,0,2019,836170,478524
788139,97850,21,5,2019,841326,572304
506403,128400,10,12,2019,568044,282633
249895,65740,24,11,2019,679554,805557
220565,82750,20,4,2019,648789,3030
206872,155500,6,10,2019,388863,564778
491266,65740,23,2,2019,380409,623984
446843,52450,20,11,2019,5514,644946
543785,106950,10,0,2019,833987,77751
505166,64700,2,1,2019,583171,323984
653300,95250,26,2,2019,915221,386387
445827,36950,5,8,2019,612483,41296
107289,91700,13,10,2019,864434,982739
672299,56450,16,0,2019,815651,913475
