VIN,Color,WheelID,Upholstry,Model,ManufacturerID,InventoryID,SaleID
5OXMRRETL3BWNCTAO,Jucaro Beige Metallic with Frozen Grey Accent,359742,Deka Dark Cloth,BMW i3,567007,776470,755837
CPU1DGD684Z0L2LFH,Imperial Blue Metallic,710724,Cognac Vernasca Leather with contrast stitching,540i xDrive Sedan,865968,877934,309339
M33GTYGQT0TKJWIB1,Glacier Silver Metallic,507716,Zagora Beige Nappa Leather,ALPINA B6 xDrive Gran Coupe,964535,298870,93961
P97CU2KIDEGRYYXIF,Jatoba Brown Metallic,572174,piping,640i xDrive Gran Turismo,582129,196394,510864
XRW2AXB3JFGT90ZHE,Black Sapphire Metallic,133259,Black Full Merino Leather,M4 Coupe,936870,473213,529664
VY4PQ1YO48P6FNU5P,Yas Marina Blue Metallic,15346,Black Extended Merino Leather,M3 Sedan,7283,772863,124849
82PX6UH7RR2JP017U,Misano Blue Metallic,307910,Black with Blue Highlight Dakota Leather,sDrive28i,32002,725693,88562
FVUY1OP70SI0JRXN0,Misano Blue Metallic,846618,Magma Red Dakota Leather,xDrive28i,583602,830044,981215
NBAL6BVPD2URP7RT3,Alpine White,535473,Canberra Beige Nappa Leather,ALPINA B7 xDrive,312717,731317,866874
XRUMCGB5D7XU2JBY1,Alpine White,814075,Black Extended Merino Leather,M5 Competition,611779,759814,888379
3XGO3U3EOS92QTMT3,Alpine White,717237,Cognac Vernasca Leather with contrast stitching,530i xDrive Sedan,292961,329007,287395
Y7O2WO7P7MXMJDP46,Black Sapphire Metallic,901492,piping,M40i,215728,979560,764596
UEG6BEFGWG5E93VZ3,ALPINA Blue Metallic,535473,Ivory White and Black Nappa Leather,ALPINA B7 xDrive,886883,467319,59315
KSUIIX72QI14SHTB2,Mineral Grey Metallic,640557,Canberra Beige,340i xDrive Gran Turismo,411597,681251,108968
IUMTTWX9G525NX12B,Jatoba Brown Metallic,949562,Black Dakota Leather with orange stitching,750i xDrive Sedan,702103,127951,407794
RR2SZ4IB0QZMBD2JM,Mineral White Metallic,231782,Mocha Dakota Leather,M760i xDrive Sedan,23002,158390,673876
N5AAU0Q6PZ0AVSTRH,Mineral Grey with BMW i Frozen Blue accent,393021,Deka Dark Cloth,BMW i3,88118,929538,179653
6AWACGUVPI0BE54DR,Arctic Grey Metallic,949562,Canberra Beige Dakota Leather,740i xDrive Sedan,687672,681133,372610
WXHGZI1RSI5S3RTQO,Imperial Blue Metallic,329306,Ivory White and Black Dakota Leather,740i xDrive Sedan,262462,974514,535883
